EPISODES,DQN_runs,DQN_correct,PPO_runs,PPO_correct
1527,14,12,15,12
1528,9,6,9,7
1529,9,8,9,5
1530,12,5,12,11
1531,10,7,10,9
1532,12,9,12,8
1533,11,8,11,8
1534,9,4,9,8
1535,12,9,12,9
1536,9,5,8,6
1537,15,10,15,11
1538,11,5,12,9
1539,12,6,10,9
1540,15,9,15,12
1541,11,7,12,10
1542,10,6,11,10
1543,15,10,14,11
1544,14,11,13,9
1545,12,9,12,9
1546,12,7,11,10
1547,12,10,12,7
1548,12,7,12,11
1549,10,5,11,10
1550,17,11,17,12
1551,14,9,15,11
1552,12,11,12,9
1553,18,12,18,14
1554,15,9,15,12
1555,15,11,15,11
1556,12,8,12,11
1557,9,6,9,8
1558,11,6,12,9
1559,11,5,12,11
1560,9,8,9,8
1561,15,7,15,14
1562,11,6,12,9
1563,15,8,15,11
1564,12,7,12,9
1565,11,9,12,11
1566,15,12,14,10
1567,9,6,9,8
1568,17,7,17,13
1569,18,11,18,15
1570,9,6,9,7
1571,12,5,12,11
1572,12,9,12,9
1573,15,7,15,14
1574,18,11,18,15
1575,8,4,7,6
1576,10,6,11,10
1577,11,6,10,9
1578,14,10,14,11
1579,18,12,18,14
1580,10,5,8,7
1581,15,6,12,10
1582,12,10,12,9
1583,18,13,18,14
1584,9,7,8,7
1585,12,7,12,11
1586,15,13,15,12
1587,12,5,12,11
1588,12,9,10,7
1589,9,7,9,8
1590,9,5,9,8
1591,15,8,15,13
1592,12,7,12,11
1593,17,13,17,14
1594,17,11,17,14
1595,18,13,18,14
1596,8,6,8,7
1597,12,7,11,9
1598,11,7,10,9
1599,16,7,16,13
1600,13,9,12,10
1601,16,9,16,13
1602,14,12,14,8
1603,12,8,12,7
1604,11,8,10,9
1605,17,9,17,12
1606,14,11,13,10
1607,15,12,15,9
1608,12,10,11,8
1609,9,4,9,8
1610,12,10,12,9
1611,14,8,14,10
1612,15,11,15,12
1613,16,10,18,15
1614,15,10,15,12
1615,18,10,18,15
1616,17,12,17,14
1617,8,6,7,6
1618,15,9,17,13
1619,12,8,10,6
1620,9,4,9,7
1621,10,5,9,8
1622,12,7,9,8
1623,12,8,12,9
1624,11,6,10,9
1625,12,7,11,10
1626,15,8,15,13
1627,18,14,18,15
1628,13,10,15,12
1629,15,9,15,13
1630,15,9,15,11
1631,12,9,11,8
1632,11,8,11,10
1633,12,10,10,9
1634,9,4,8,6
1635,14,9,13,10
1636,7,5,8,6
1637,12,7,10,6
1638,12,4,12,11
1639,9,5,9,8
1640,16,8,18,15
1641,9,8,8,7
1642,11,9,12,11
1643,8,5,8,6
