EPISODES,DQN,PPO
363,0.4666666666666667,0.6428571428571429
364,0.4,0.6875
365,0.5,0.6428571428571429
366,0.4,0.65
367,0.3684210526315789,0.6
368,0.6666666666666666,0.5
369,0.6,0.8666666666666667
370,0.6190476190476191,0.5238095238095238
371,0.42857142857142855,0.6
372,0.65,0.47619047619047616
373,0.5,0.5625
374,0.4782608695652174,0.5454545454545454
375,0.6923076923076923,0.5384615384615384
376,0.5,0.5
377,0.6,0.4
378,0.46153846153846156,0.6153846153846154
379,0.5714285714285714,0.7857142857142857
380,0.5652173913043478,0.5714285714285714
381,0.5555555555555556,0.5
382,0.5333333333333333,0.5384615384615384
383,0.5238095238095238,0.5238095238095238
384,0.42857142857142855,0.6
385,0.5,0.47058823529411764
386,0.5,0.6666666666666666
387,0.6111111111111112,0.4117647058823529
388,0.3888888888888889,0.5555555555555556
389,0.6428571428571429,0.5714285714285714
390,0.42857142857142855,0.4
391,0.8333333333333334,0.5
392,0.65,0.6
393,0.6153846153846154,0.6153846153846154
394,0.4,0.55
395,0.6666666666666666,0.46153846153846156
396,0.6666666666666666,0.7333333333333333
397,0.5454545454545454,0.36363636363636365
398,0.3125,0.5
399,0.625,0.4375
400,0.75,0.5833333333333334
401,0.5,0.7619047619047619
402,0.42857142857142855,0.7142857142857143
403,0.4,0.4
404,0.47619047619047616,0.5238095238095238
405,0.8181818181818182,0.5454545454545454
406,0.6086956521739131,0.5
407,0.45,0.47619047619047616
408,0.5,0.5882352941176471
409,0.3333333333333333,0.5555555555555556
410,0.5294117647058824,0.5294117647058824
411,0.65,0.6190476190476191
412,0.5238095238095238,0.38095238095238093
413,0.65,0.6190476190476191
414,0.8333333333333334,0.6666666666666666
415,0.5,0.7222222222222222
416,0.3333333333333333,0.5333333333333333
417,0.4,0.42857142857142855
418,0.5625,0.5625
419,0.6842105263157895,0.42105263157894735
420,0.6666666666666666,0.6
421,0.6111111111111112,0.6666666666666666
422,0.6111111111111112,0.3888888888888889
423,0.6,0.5
424,0.55,0.75
425,0.6,0.3157894736842105
426,0.6470588235294118,0.3333333333333333
